;precision;recall;f1-score;support
related;0.8376106194690266;0.9526925012581782;0.8914527902048505;3974.0
request;0.8207547169811321;0.48066298342541436;0.6062717770034843;905.0
offer;1.0;0.041666666666666664;0.07999999999999999;24.0
aid_related;0.7444168734491315;0.7085498346717053;0.7260406582768636;2117.0
medical_help;0.6140350877192983;0.08254716981132075;0.14553014553014554;424.0
medical_products;0.7916666666666666;0.07279693486590039;0.13333333333333333;261.0
search_and_rescue;0.5555555555555556;0.032467532467532464;0.06134969325153374;154.0
security;0.4;0.021739130434782608;0.041237113402061855;92.0
military;0.6;0.04;0.075;150.0
child_alone;0.0;0.0;0.0;0.0
water;0.8579881656804734;0.44753086419753085;0.5882352941176471;324.0
food;0.8266331658291457;0.599271402550091;0.6948257655755016;549.0
shelter;0.7532467532467533;0.40749414519906324;0.5288753799392097;427.0
clothing;0.8333333333333334;0.14492753623188406;0.2469135802469136;69.0
money;0.6666666666666666;0.015873015873015872;0.031007751937984492;126.0
missing_people;0.0;0.0;0.0;54.0
refugees;0.6428571428571429;0.05232558139534884;0.09677419354838711;172.0
death;0.9393939393939394;0.12704918032786885;0.22382671480144406;244.0
other_aid;0.5714285714285714;0.040638606676342524;0.07588075880758806;689.0
infrastructure_related;0.5;0.006191950464396285;0.012232415902140675;323.0
transport;0.7391304347826086;0.07327586206896551;0.13333333333333333;232.0
buildings;0.851063829787234;0.15873015873015872;0.26755852842809363;252.0
electricity;0.8571428571428571;0.0594059405940594;0.11111111111111112;101.0
tools;0.0;0.0;0.0;32.0
hospitals;0.0;0.0;0.0;49.0
shops;0.0;0.0;0.0;23.0
aid_centers;0.0;0.0;0.0;49.0
other_infrastructure;0.0;0.0;0.0;233.0
weather_related;0.8579831932773109;0.6988364134154689;0.7702753677857412;1461.0
floods;0.8859649122807017;0.47417840375586856;0.617737003058104;426.0
storm;0.7869822485207101;0.5484536082474227;0.6464155528554071;485.0
fire;0.0;0.0;0.0;56.0
earthquake;0.8968609865470852;0.8179959100204499;0.8556149732620322;489.0
cold;1.0;0.043859649122807015;0.08403361344537816;114.0
other_weather;0.5714285714285714;0.027303754266211604;0.05211726384364821;293.0
direct_report;0.7665952890792291;0.352015732546706;0.4824797843665768;1017.0
micro avg;0.8147806855879101;0.5394752898108602;0.6491447030320827;16390.0
macro avg;0.5880205439200874;0.20912445748014336;0.25776288603801434;16390.0
weighted avg;0.7581094089851361;0.5394752898108602;0.5761510079168283;16390.0
samples avg;0.6646868803172775;0.48628034797877195;0.5153140220958923;16390.0
