;precision;recall;f1-score;support
related;0.8255635806522215;0.9561470215462611;0.8860700023490721;3945.0
request;0.8796296296296297;0.4362801377726751;0.5832693783576363;871.0
offer;0.0;0.0;0.0;29.0
aid_related;0.8251533742331288;0.4969976905311778;0.6203516863649466;2165.0
medical_help;0.4444444444444444;0.009345794392523364;0.018306636155606407;428.0
medical_products;0.8571428571428571;0.022058823529411766;0.04301075268817204;272.0
search_and_rescue;0.6666666666666666;0.0136986301369863;0.02684563758389262;146.0
security;0.0;0.0;0.0;96.0
military;0.0;0.0;0.0;168.0
child_alone;0.0;0.0;0.0;0.0
water;0.9655172413793104;0.16568047337278108;0.2828282828282828;338.0
food;0.9415584415584416;0.2690166975881262;0.4184704184704185;539.0
shelter;0.8723404255319149;0.08742004264392324;0.15891472868217055;469.0
clothing;1.0;0.0379746835443038;0.07317073170731708;79.0
money;1.0;0.015503875968992248;0.030534351145038167;129.0
missing_people;0.0;0.0;0.0;71.0
refugees;1.0;0.005681818181818182;0.01129943502824859;176.0
death;0.8;0.031007751937984496;0.059701492537313425;258.0
other_aid;0.7777777777777778;0.020618556701030927;0.040172166427546625;679.0
infrastructure_related;0.0;0.0;0.0;362.0
transport;0.6666666666666666;0.008130081300813009;0.01606425702811245;246.0
buildings;0.3333333333333333;0.007142857142857143;0.013986013986013986;280.0
electricity;1.0;0.009708737864077669;0.01923076923076923;103.0
tools;0.0;0.0;0.0;28.0
hospitals;0.0;0.0;0.0;58.0
shops;0.0;0.0;0.0;23.0
aid_centers;0.0;0.0;0.0;68.0
other_infrastructure;0.0;0.0;0.0;251.0
weather_related;0.8956743002544529;0.4888888888888889;0.632524707996406;1440.0
floods;0.95;0.17882352941176471;0.300990099009901;425.0
storm;0.7851239669421488;0.1919191919191919;0.30844155844155846;495.0
fire;0.0;0.0;0.0;60.0
earthquake;0.9362549800796812;0.48155737704918034;0.6359945872801082;488.0
cold;0.3333333333333333;0.009009009009009009;0.017543859649122806;111.0
other_weather;0.3333333333333333;0.003676470588235294;0.007272727272727274;272.0
direct_report;0.8567901234567902;0.3505050505050505;0.4974910394265233;990.0
micro avg;0.8418638338966683;0.4211861335910134;0.5614684807986475;16558.0
macro avg;0.5262862354560036;0.11935536643130734;0.15840236999019178;16558.0
weighted avg;0.7589634501612046;0.4211861335910134;0.4727775085639711;16558.0
samples avg;0.6963542475776212;0.41001099365093907;0.46746767819024176;16558.0
