;precision;recall;f1-score;support
related;0.8716425005942476;0.919047619047619;0.8947175796022934;3990.0
request;0.7313237221494102;0.6052060737527115;0.6623145400593473;922.0
offer;0.0;0.0;0.0;31.0
aid_related;0.7495995728777363;0.6335740072202166;0.6867204695524578;2216.0
medical_help;0.44;0.16019417475728157;0.23487544483985767;412.0
medical_products;0.5;0.12307692307692308;0.19753086419753088;260.0
search_and_rescue;0.05;0.006493506493506494;0.01149425287356322;154.0
security;0.11764705882352941;0.020833333333333332;0.035398230088495575;96.0
military;0.3157894736842105;0.07547169811320754;0.1218274111675127;159.0
child_alone;0.0;0.0;0.0;0.0
water;0.5522388059701493;0.1072463768115942;0.17961165048543687;345.0
food;0.7164948453608248;0.22861842105263158;0.34663341645885287;608.0
shelter;0.5968992248062015;0.16244725738396623;0.25538971807628524;474.0
clothing;0.11764705882352941;0.022727272727272728;0.03809523809523809;88.0
money;0.22727272727272727;0.04504504504504504;0.07518796992481203;111.0
missing_people;0.11764705882352941;0.025;0.041237113402061855;80.0
refugees;0.34782608695652173;0.043243243243243246;0.07692307692307693;185.0
death;0.5333333333333333;0.12903225806451613;0.2077922077922078;248.0
other_aid;0.3684210526315789;0.08395802098950525;0.13675213675213677;667.0
infrastructure_related;0.2727272727272727;0.06231454005934718;0.10144927536231885;337.0
transport;0.3684210526315789;0.05533596837944664;0.09621993127147765;253.0
buildings;0.3953488372093023;0.06513409961685823;0.1118421052631579;261.0
electricity;0.2;0.0380952380952381;0.064;105.0
tools;0.13333333333333333;0.07142857142857142;0.09302325581395349;28.0
hospitals;0.0625;0.022727272727272728;0.03333333333333333;44.0
shops;0.18181818181818182;0.06666666666666667;0.0975609756097561;30.0
aid_centers;0.10526315789473684;0.034482758620689655;0.051948051948051945;58.0
other_infrastructure;0.30303030303030304;0.041666666666666664;0.07326007326007325;240.0
weather_related;0.763000852514919;0.5923229649238915;0.6669150521609538;1511.0
floods;0.5911111111111111;0.2805907172995781;0.38054363376251793;474.0
storm;0.6215139442231076;0.312;0.41544607190412786;500.0
fire;0.2222222222222222;0.08163265306122448;0.11940298507462686;49.0
earthquake;0.8326359832635983;0.38943248532289626;0.5306666666666666;511.0
cold;0.1;0.02197802197802198;0.03603603603603604;91.0
other_weather;0.19607843137254902;0.0353356890459364;0.059880239520958084;283.0
direct_report;0.625;0.5836575875486382;0.6036217303822937;1028.0
micro avg;0.740687029819632;0.48501394741527687;0.5861846352485475;16849.0
macro avg;0.3702163112627707;0.17072269812648658;0.21493474271281865;16849.0
weighted avg;0.645588831650026;0.48501394741527687;0.5268193364996283;16849.0
samples avg;0.6231317068300593;0.43154449739749773;0.4597809139870982;16849.0
