;precision;recall;f1-score;support
related;0.8722222222222222;0.9141772151898734;0.8927070457354758;3950.0
request;0.6830188679245283;0.6177474402730375;0.6487455197132617;879.0
offer;0.0;0.0;0.0;37.0
aid_related;0.7284413497589716;0.634032634032634;0.6779661016949152;2145.0
medical_help;0.48466257668711654;0.18372093023255814;0.2664418212478921;430.0
medical_products;0.475;0.1391941391941392;0.21529745042492918;273.0
search_and_rescue;0.23529411764705882;0.0273972602739726;0.049079754601226995;146.0
security;0.07692307692307693;0.010752688172043012;0.018867924528301886;93.0
military;0.2972972972972973;0.06748466257668712;0.10999999999999999;163.0
child_alone;0.0;0.0;0.0;0.0
water;0.4457831325301205;0.11598746081504702;0.18407960199004972;319.0
food;0.6732673267326733;0.23168654173764908;0.3447401774397972;587.0
shelter;0.574468085106383;0.17685589519650655;0.2704507512520868;458.0
clothing;0.23076923076923078;0.03296703296703297;0.057692307692307696;91.0
money;0.16666666666666666;0.023255813953488372;0.04081632653061224;129.0
missing_people;0.08333333333333333;0.018867924528301886;0.03076923076923077;53.0
refugees;0.34615384615384615;0.05521472392638037;0.09523809523809523;163.0
death;0.40350877192982454;0.10087719298245613;0.1614035087719298;228.0
other_aid;0.30612244897959184;0.0684931506849315;0.11194029850746269;657.0
infrastructure_related;0.27956989247311825;0.07854984894259819;0.12264150943396225;331.0
transport;0.3902439024390244;0.06639004149377593;0.11347517730496454;241.0
buildings;0.4186046511627907;0.06792452830188679;0.1168831168831169;265.0
electricity;0.25;0.03571428571428571;0.0625;112.0
tools;0.0;0.0;0.0;21.0
hospitals;0.08333333333333333;0.016666666666666666;0.027777777777777776;60.0
shops;0.25;0.08333333333333333;0.125;24.0
aid_centers;0.14285714285714285;0.03508771929824561;0.056338028169014086;57.0
other_infrastructure;0.22580645161290322;0.03111111111111111;0.0546875;225.0
weather_related;0.7472924187725631;0.563265306122449;0.6423584173778122;1470.0
floods;0.46923076923076923;0.28045977011494255;0.35107913669064744;435.0
storm;0.5879828326180258;0.2644787644787645;0.36484687083888157;518.0
fire;0.16666666666666666;0.04081632653061224;0.06557377049180327;49.0
earthquake;0.7666666666666667;0.3425531914893617;0.4735294117647059;470.0
cold;0.14285714285714285;0.01834862385321101;0.032520325203252036;109.0
other_weather;0.14814814814814814;0.029850746268656716;0.049689440993788817;268.0
direct_report;0.5782178217821782;0.5928934010152285;0.5854636591478697;985.0
micro avg;0.719486666059889;0.48081016969770696;0.5764182587137232;16441.0
macro avg;0.35362250531340045;0.16572656587421855;0.20612777939486585;16441.0
weighted avg;0.6221751425550145;0.48081016969770696;0.517318263579681;16441.0
samples avg;0.6055870487230429;0.42523373809186066;0.44705809389390305;16441.0
