;precision;recall;f1-score;support
related;0.847576099210823;0.9432873274780427;0.892874109263658;3985.0
request;0.8448566610455311;0.5422077922077922;0.6605141727092947;924.0
offer;0.0;0.0;0.0;23.0
aid_related;0.7691945360339143;0.7200176366843033;0.7437941243452516;2268.0
medical_help;0.625;0.1076555023923445;0.1836734693877551;418.0
medical_products;0.8529411764705882;0.10902255639097744;0.19333333333333333;266.0
search_and_rescue;0.5925925925925926;0.10526315789473684;0.1787709497206704;152.0
security;0.0;0.0;0.0;112.0
military;0.631578947368421;0.06521739130434782;0.11822660098522168;184.0
child_alone;0.0;0.0;0.0;0.0
water;0.9081081081081082;0.47058823529411764;0.6199261992619925;357.0
food;0.8505050505050505;0.6912972085385879;0.7626811594202899;609.0
shelter;0.847682119205298;0.5029469548133595;0.6313193588162761;509.0
clothing;0.7894736842105263;0.1744186046511628;0.28571428571428575;86.0
money;0.6666666666666666;0.03225806451612903;0.06153846153846154;124.0
missing_people;1.0;0.024691358024691357;0.048192771084337345;81.0
refugees;0.6428571428571429;0.05;0.09278350515463918;180.0
death;0.8493150684931506;0.2450592885375494;0.3803680981595092;253.0
other_aid;0.625;0.04908835904628331;0.09102730819245775;713.0
infrastructure_related;0.5;0.002967359050445104;0.0058997050147492625;337.0
transport;0.5789473684210527;0.09565217391304348;0.16417910447761194;230.0
buildings;0.8472222222222222;0.20677966101694914;0.332425068119891;295.0
electricity;1.0;0.06666666666666667;0.125;90.0
tools;0.0;0.0;0.0;26.0
hospitals;0.0;0.0;0.0;48.0
shops;0.0;0.0;0.0;22.0
aid_centers;0.0;0.0;0.0;66.0
other_infrastructure;0.0;0.0;0.0;227.0
weather_related;0.853030303030303;0.7602970965563808;0.8039985719385934;1481.0
floods;0.9081632653061225;0.6123853211009175;0.7315068493150685;436.0
storm;0.7684729064039408;0.6568421052631579;0.7082860385925084;475.0
fire;1.0;0.03389830508474576;0.06557377049180328;59.0
earthquake;0.8933901918976546;0.8231827111984283;0.8568507157464212;509.0
cold;0.6774193548387096;0.1826086956521739;0.2876712328767123;115.0
other_weather;0.6;0.046875;0.08695652173913043;256.0
direct_report;0.811787072243346;0.3990654205607477;0.5350877192982457;1070.0
micro avg;0.8283652607164333;0.5677028140821854;0.6736996541726343;16986.0
macro avg;0.6050494593647545;0.24222888760661343;0.29578258901939364;16986.0
weighted avg;0.7746585061742025;0.5677028140821854;0.6073587273994022;16986.0
samples avg;0.6602081829341473;0.49456580327729593;0.5221566992455469;16986.0
